protein	locus	connectivity
ENSMUSP00000001484	ENSMUSG00000001444	75
ENSMUSP00000001485	ENSMUSG00000001445	9
ENSMUSP00000001507	ENSMUSG00000001467	48
ENSMUSP00000056485	ENSMUSG00000001472	10
ENSMUSP00000090737	ENSMUSG00000001482	41
ENSMUSP00000102793	ENSMUSG00000001493	54
ENSMUSP00000001534	ENSMUSG00000001494	53
ENSMUSP00000001536	ENSMUSG00000001496	218
ENSMUSP00000001538	ENSMUSG00000001497	195
ENSMUSP00000105315	ENSMUSG00000001504	24
ENSMUSP00000001547	ENSMUSG00000001506	132
ENSMUSP00000073378	ENSMUSG00000001507	125
ENSMUSP00000098118	ENSMUSG00000001508	27
ENSMUSP00000090443	ENSMUSG00000001510	47
ENSMUSP00000073041	ENSMUSG00000001517	102
ENSMUSP00000113317	ENSMUSG00000001520	4
ENSMUSP00000001562	ENSMUSG00000001521	20
ENSMUSP00000001565	ENSMUSG00000001524	83
ENSMUSP00000001583	ENSMUSG00000001542	8
ENSMUSP00000103026	ENSMUSG00000001552	81
ENSMUSP00000001595	ENSMUSG00000001555	3
ENSMUSP00000001599	ENSMUSG00000001558	1
ENSMUSP00000001608	ENSMUSG00000001566	27
ENSMUSP00000001611	ENSMUSG00000001569	6
ENSMUSP00000001619	ENSMUSG00000001576	5
ENSMUSP00000104271	ENSMUSG00000001583	6
ENSMUSP00000001631	ENSMUSG00000001588	8
ENSMUSP00000099592	ENSMUSG00000001604	2
ENSMUSP00000108896	ENSMUSG00000001622	17
ENSMUSP00000001672	ENSMUSG00000001627	39
ENSMUSP00000107271	ENSMUSG00000001630	3
ENSMUSP00000108744	ENSMUSG00000001632	6
ENSMUSP00000100045	ENSMUSG00000001642	61
ENSMUSP00000001700	ENSMUSG00000001655	19
ENSMUSP00000001701	ENSMUSG00000001656	14
ENSMUSP00000001703	ENSMUSG00000001657	36
ENSMUSP00000001711	ENSMUSG00000001661	8
ENSMUSP00000001713	ENSMUSG00000001663	93
ENSMUSP00000001715	ENSMUSG00000001665	8
ENSMUSP00000001716	ENSMUSG00000001666	48
ENSMUSP00000001720	ENSMUSG00000001670	57
ENSMUSP00000001722	ENSMUSG00000001672	2
ENSMUSP00000001724	ENSMUSG00000001674	54
ENSMUSP00000078303	ENSMUSG00000001687	3
ENSMUSP00000001757	ENSMUSG00000001707	10
ENSMUSP00000113658	ENSMUSG00000001729	378
ENSMUSP00000001790	ENSMUSG00000001739	29
ENSMUSP00000001792	ENSMUSG00000001741	63
ENSMUSP00000120531	ENSMUSG00000001750	35
ENSMUSP00000001802	ENSMUSG00000001751	16
ENSMUSP00000102929	ENSMUSG00000001755	12
ENSMUSP00000001812	ENSMUSG00000001761	71
ENSMUSP00000045282	ENSMUSG00000001763	1
ENSMUSP00000001818	ENSMUSG00000001767	22
ENSMUSP00000105632	ENSMUSG00000001768	8
ENSMUSP00000102892	ENSMUSG00000001773	7
ENSMUSP00000001825	ENSMUSG00000001774	20
ENSMUSP00000001834	ENSMUSG00000001783	21
ENSMUSP00000001836	ENSMUSG00000001785	80
ENSMUSP00000120840	ENSMUSG00000001786	28
ENSMUSP00000001845	ENSMUSG00000001794	22
ENSMUSP00000111509	ENSMUSG00000001804	9
ENSMUSP00000107621	ENSMUSG00000001815	8
ENSMUSP00000001872	ENSMUSG00000001819	55
ENSMUSP00000001878	ENSMUSG00000001823	156
ENSMUSP00000102594	ENSMUSG00000001827	37
ENSMUSP00000102611	ENSMUSG00000001829	11
ENSMUSP00000110927	ENSMUSG00000001833	70
ENSMUSP00000001900	ENSMUSG00000001844	1
ENSMUSP00000098058	ENSMUSG00000001847	349
ENSMUSP00000066492	ENSMUSG00000001855	92
ENSMUSP00000001921	ENSMUSG00000001865	23
ENSMUSP00000108137	ENSMUSG00000001870	12
ENSMUSP00000099939	ENSMUSG00000001891	42
ENSMUSP00000105389	ENSMUSG00000001909	66
ENSMUSP00000001975	ENSMUSG00000001910	34
ENSMUSP00000069160	ENSMUSG00000001911	28
ENSMUSP00000104136	ENSMUSG00000001918	21
ENSMUSP00000086626	ENSMUSG00000001924	49
ENSMUSP00000107873	ENSMUSG00000001930	115
ENSMUSP00000002007	ENSMUSG00000001942	10
ENSMUSP00000002008	ENSMUSG00000001943	1
ENSMUSP00000002011	ENSMUSG00000001946	40
ENSMUSP00000002013	ENSMUSG00000001948	34
ENSMUSP00000002029	ENSMUSG00000001964	51
ENSMUSP00000002048	ENSMUSG00000001983	51
ENSMUSP00000030676	ENSMUSG00000001985	2
ENSMUSP00000075687	ENSMUSG00000001986	28
ENSMUSP00000002053	ENSMUSG00000001988	25
ENSMUSP00000002063	ENSMUSG00000001998	6
ENSMUSP00000002064	ENSMUSG00000001999	15
ENSMUSP00000002080	ENSMUSG00000002006	4
ENSMUSP00000002081	ENSMUSG00000002007	1
ENSMUSP00000056502	ENSMUSG00000002010	38
ENSMUSP00000110116	ENSMUSG00000002012	7
ENSMUSP00000002090	ENSMUSG00000002014	69
