protein	locus	connectivity
ENSMUSP00000079572	ENSMUSG00000059595	2
ENSMUSP00000113720	ENSMUSG00000059602	9
ENSMUSP00000075074	ENSMUSG00000059606	1
ENSMUSP00000071835	ENSMUSG00000059610	324
ENSMUSP00000071641	ENSMUSG00000059623	326
ENSMUSP00000080075	ENSMUSG00000059626	3
ENSMUSP00000078847	ENSMUSG00000059654	9
ENSMUSP00000023619	ENSMUSG00000059657	4
ENSMUSP00000023797	ENSMUSG00000059668	19
ENSMUSP00000075339	ENSMUSG00000059669	35
ENSMUSP00000066005	ENSMUSG00000059674	18
ENSMUSP00000108481	ENSMUSG00000059689	1
ENSMUSP00000030606	ENSMUSG00000059713	10
ENSMUSP00000001569	ENSMUSG00000059714	32
ENSMUSP00000093126	ENSMUSG00000059732	71
ENSMUSP00000074600	ENSMUSG00000059734	143
ENSMUSP00000078715	ENSMUSG00000059741	76
ENSMUSP00000080531	ENSMUSG00000059743	50
ENSMUSP00000073864	ENSMUSG00000059751	74
ENSMUSP00000071490	ENSMUSG00000059762	2
ENSMUSP00000080775	ENSMUSG00000059762	2
ENSMUSP00000078137	ENSMUSG00000059763	6
ENSMUSP00000118182	ENSMUSG00000059772	6
ENSMUSP00000071126	ENSMUSG00000059787	2
ENSMUSP00000099649	ENSMUSG00000059796	40
ENSMUSP00000110998	ENSMUSG00000059796	35
ENSMUSP00000081569	ENSMUSG00000059810	24
ENSMUSP00000064758	ENSMUSG00000059811	9
ENSMUSP00000111232	ENSMUSG00000059821	325
ENSMUSP00000079693	ENSMUSG00000059824	20
ENSMUSP00000026866	ENSMUSG00000059834	4
ENSMUSP00000112039	ENSMUSG00000059835	44
ENSMUSP00000000756	ENSMUSG00000059835	97
ENSMUSP00000104224	ENSMUSG00000059851	14
ENSMUSP00000077112	ENSMUSG00000059852	1
ENSMUSP00000046204	ENSMUSG00000059854	11
ENSMUSP00000102185	ENSMUSG00000059857	15
ENSMUSP00000076091	ENSMUSG00000059862	2
ENSMUSP00000073963	ENSMUSG00000059864	2
ENSMUSP00000060333	ENSMUSG00000059864	2
ENSMUSP00000030991	ENSMUSG00000059866	23
ENSMUSP00000079522	ENSMUSG00000059873	2
ENSMUSP00000071744	ENSMUSG00000059874	2
ENSMUSP00000084926	ENSMUSG00000059878	4
ENSMUSP00000074471	ENSMUSG00000059883	68
ENSMUSP00000073260	ENSMUSG00000059887	3
ENSMUSP00000112632	ENSMUSG00000059890	2
ENSMUSP00000112673	ENSMUSG00000059891	7
ENSMUSP00000060956	ENSMUSG00000059895	26
ENSMUSP00000111514	ENSMUSG00000059898	5
ENSMUSP00000108568	ENSMUSG00000059900	4
ENSMUSP00000112723	ENSMUSG00000059901	5
ENSMUSP00000097345	ENSMUSG00000059910	2
ENSMUSP00000076255	ENSMUSG00000059920	2
ENSMUSP00000074758	ENSMUSG00000059921	30
ENSMUSP00000021090	ENSMUSG00000059923	247
ENSMUSP00000074248	ENSMUSG00000059942	2
ENSMUSP00000108344	ENSMUSG00000059956	1
ENSMUSP00000079306	ENSMUSG00000059970	38
ENSMUSP00000110892	ENSMUSG00000059974	30
ENSMUSP00000112963	ENSMUSG00000059981	6
ENSMUSP00000071687	ENSMUSG00000059991	8
ENSMUSP00000072300	ENSMUSG00000059994	3
ENSMUSP00000102750	ENSMUSG00000059995	1
ENSMUSP00000073267	ENSMUSG00000059996	325
ENSMUSP00000112708	ENSMUSG00000060002	46
ENSMUSP00000098041	ENSMUSG00000060012	32
ENSMUSP00000008036	ENSMUSG00000060019	85
ENSMUSP00000071913	ENSMUSG00000060030	2
ENSMUSP00000075459	ENSMUSG00000060034	14
ENSMUSP00000080354	ENSMUSG00000060036	95
ENSMUSP00000086928	ENSMUSG00000060036	67
ENSMUSP00000077733	ENSMUSG00000060038	62
ENSMUSP00000072158	ENSMUSG00000060049	2
ENSMUSP00000100517	ENSMUSG00000060059	2
ENSMUSP00000071130	ENSMUSG00000060063	25
ENSMUSP00000071624	ENSMUSG00000060073	71
ENSMUSP00000072227	ENSMUSG00000060081	5
ENSMUSP00000079451	ENSMUSG00000060084	2
ENSMUSP00000100858	ENSMUSG00000060089	2
ENSMUSP00000111050	ENSMUSG00000060090	47
ENSMUSP00000075026	ENSMUSG00000060093	9
ENSMUSP00000072575	ENSMUSG00000060096	13
ENSMUSP00000071521	ENSMUSG00000060098	8
ENSMUSP00000072514	ENSMUSG00000060101	2
ENSMUSP00000095773	ENSMUSG00000060105	2
ENSMUSP00000076080	ENSMUSG00000060107	2
ENSMUSP00000071824	ENSMUSG00000060108	2
ENSMUSP00000087273	ENSMUSG00000060108	2
ENSMUSP00000074916	ENSMUSG00000060112	2
ENSMUSP00000081494	ENSMUSG00000060112	2
ENSMUSP00000072947	ENSMUSG00000060114	2
ENSMUSP00000021379	ENSMUSG00000060121	62
ENSMUSP00000072546	ENSMUSG00000060125	3
ENSMUSP00000079661	ENSMUSG00000060126	53
ENSMUSP00000111644	ENSMUSG00000060126	14
ENSMUSP00000079205	ENSMUSG00000060129	2
ENSMUSP00000017188	ENSMUSG00000060147	14
ENSMUSP00000071329	ENSMUSG00000060149	4
ENSMUSP00000071762	ENSMUSG00000060151	5
ENSMUSP00000118408	ENSMUSG00000060152	8
ENSMUSP00000077933	ENSMUSG00000060161	2
ENSMUSP00000076224	ENSMUSG00000060166	38
ENSMUSP00000077384	ENSMUSG00000060170	2
ENSMUSP00000075241	ENSMUSG00000060170	2
ENSMUSP00000043304	ENSMUSG00000060176	1
ENSMUSP00000076733	ENSMUSG00000060177	4
ENSMUSP00000104324	ENSMUSG00000060180	37
ENSMUSP00000073502	ENSMUSG00000060187	4
ENSMUSP00000073687	ENSMUSG00000060188	6
ENSMUSP00000031127	ENSMUSG00000060204	1
ENSMUSP00000080872	ENSMUSG00000060205	3
ENSMUSP00000095677	ENSMUSG00000060206	4
ENSMUSP00000120469	ENSMUSG00000060212	3
ENSMUSP00000078065	ENSMUSG00000060216	996
ENSMUSP00000075825	ENSMUSG00000060224	2
ENSMUSP00000123334	ENSMUSG00000060240	2
ENSMUSP00000080242	ENSMUSG00000060244	125
ENSMUSP00000079648	ENSMUSG00000060254	2
ENSMUSP00000075338	ENSMUSG00000060256	27
ENSMUSP00000049625	ENSMUSG00000060261	63
ENSMUSP00000080088	ENSMUSG00000060262	2
ENSMUSP00000111378	ENSMUSG00000060275	17
ENSMUSP00000082519	ENSMUSG00000060279	58
ENSMUSP00000077596	ENSMUSG00000060284	80
ENSMUSP00000101924	ENSMUSG00000060288	11
ENSMUSP00000079994	ENSMUSG00000060303	2
ENSMUSP00000092702	ENSMUSG00000060317	1
ENSMUSP00000077139	ENSMUSG00000060332	3
ENSMUSP00000072758	ENSMUSG00000060335	325
ENSMUSP00000075198	ENSMUSG00000060373	103
ENSMUSP00000071292	ENSMUSG00000060376	55
ENSMUSP00000115378	ENSMUSG00000060397	2
ENSMUSP00000077752	ENSMUSG00000060402	6
ENSMUSP00000074990	ENSMUSG00000060407	68
ENSMUSP00000075509	ENSMUSG00000060412	1
ENSMUSP00000080065	ENSMUSG00000060422	2
ENSMUSP00000041294	ENSMUSG00000060429	25
ENSMUSP00000079909	ENSMUSG00000060445	10
ENSMUSP00000072212	ENSMUSG00000060450	43
ENSMUSP00000097623	ENSMUSG00000060459	44
ENSMUSP00000071881	ENSMUSG00000060461	5
ENSMUSP00000007007	ENSMUSG00000060475	16
ENSMUSP00000055073	ENSMUSG00000060477	43
ENSMUSP00000082055	ENSMUSG00000060499	127
ENSMUSP00000079834	ENSMUSG00000060503	325
ENSMUSP00000072895	ENSMUSG00000060508	5
ENSMUSP00000077813	ENSMUSG00000060509	49
ENSMUSP00000078572	ENSMUSG00000060519	2
ENSMUSP00000087282	ENSMUSG00000060523	2
ENSMUSP00000110593	ENSMUSG00000060534	82
ENSMUSP00000106865	ENSMUSG00000060548	47
ENSMUSP00000072735	ENSMUSG00000060549	325
ENSMUSP00000038575	ENSMUSG00000060550	45
ENSMUSP00000075606	ENSMUSG00000060550	50
ENSMUSP00000062542	ENSMUSG00000060556	3
ENSMUSP00000073794	ENSMUSG00000060564	2
ENSMUSP00000079112	ENSMUSG00000060566	2
ENSMUSP00000099550	ENSMUSG00000060572	23
ENSMUSP00000078899	ENSMUSG00000060579	81
ENSMUSP00000074193	ENSMUSG00000060583	2
ENSMUSP00000075654	ENSMUSG00000060586	118
ENSMUSP00000071470	ENSMUSG00000060591	17
ENSMUSP00000073409	ENSMUSG00000060593	325
ENSMUSP00000096379	ENSMUSG00000060594	5
ENSMUSP00000104188	ENSMUSG00000060600	48
ENSMUSP00000103545	ENSMUSG00000060601	88
ENSMUSP00000060584	ENSMUSG00000060613	108
ENSMUSP00000073525	ENSMUSG00000060615	1
ENSMUSP00000110727	ENSMUSG00000060636	21
ENSMUSP00000077500	ENSMUSG00000060636	1
ENSMUSP00000078039	ENSMUSG00000060639	8
ENSMUSP00000087770	ENSMUSG00000060657	2
ENSMUSP00000072631	ENSMUSG00000060663	2
ENSMUSP00000078873	ENSMUSG00000060663	2
ENSMUSP00000119403	ENSMUSG00000060675	2
ENSMUSP00000056855	ENSMUSG00000060679	8
ENSMUSP00000074216	ENSMUSG00000060680	51
ENSMUSP00000076922	ENSMUSG00000060681	6
ENSMUSP00000079060	ENSMUSG00000060688	325
ENSMUSP00000071179	ENSMUSG00000060701	2
ENSMUSP00000074188	ENSMUSG00000060703	4
ENSMUSP00000071840	ENSMUSG00000060708	17
ENSMUSP00000071918	ENSMUSG00000060725	2
ENSMUSP00000112568	ENSMUSG00000060733	26
ENSMUSP00000062741	ENSMUSG00000060735	6
ENSMUSP00000072712	ENSMUSG00000060738	52
ENSMUSP00000073888	ENSMUSG00000060739	2
ENSMUSP00000073161	ENSMUSG00000060739	81
ENSMUSP00000075612	ENSMUSG00000060742	325
ENSMUSP00000080384	ENSMUSG00000060747	18
ENSMUSP00000073519	ENSMUSG00000060756	3
ENSMUSP00000063194	ENSMUSG00000060765	2
ENSMUSP00000073588	ENSMUSG00000060765	2
ENSMUSP00000048859	ENSMUSG00000060771	3
ENSMUSP00000020400	ENSMUSG00000060780	11
ENSMUSP00000074415	ENSMUSG00000060787	325
ENSMUSP00000103927	ENSMUSG00000060791	2
ENSMUSP00000071120	ENSMUSG00000060794	3
ENSMUSP00000088725	ENSMUSG00000060798	7
ENSMUSP00000099534	ENSMUSG00000060802	99
ENSMUSP00000038931	ENSMUSG00000060803	77
ENSMUSP00000044033	ENSMUSG00000060807	13
ENSMUSP00000080399	ENSMUSG00000060827	325
ENSMUSP00000101080	ENSMUSG00000060843	27
ENSMUSP00000078459	ENSMUSG00000060860	4
ENSMUSP00000061899	ENSMUSG00000060862	10
ENSMUSP00000072563	ENSMUSG00000060878	325
ENSMUSP00000080257	ENSMUSG00000060882	32
ENSMUSP00000109398	ENSMUSG00000060890	17
ENSMUSP00000076510	ENSMUSG00000060899	1
ENSMUSP00000111942	ENSMUSG00000060904	17
ENSMUSP00000029139	ENSMUSG00000060913	15
ENSMUSP00000075832	ENSMUSG00000060918	1
ENSMUSP00000074195	ENSMUSG00000060923	14
ENSMUSP00000080751	ENSMUSG00000060924	1
ENSMUSP00000082011	ENSMUSG00000060950	47
ENSMUSP00000121744	ENSMUSG00000060961	32
ENSMUSP00000060362	ENSMUSG00000060962	3
ENSMUSP00000073854	ENSMUSG00000060967	60
ENSMUSP00000076562	ENSMUSG00000060969	13
ENSMUSP00000071667	ENSMUSG00000060974	2
ENSMUSP00000067699	ENSMUSG00000060974	2
ENSMUSP00000108253	ENSMUSG00000060988	8
ENSMUSP00000097738	ENSMUSG00000060992	8
ENSMUSP00000078926	ENSMUSG00000061000	366
ENSMUSP00000078718	ENSMUSG00000061013	14
ENSMUSP00000071955	ENSMUSG00000061024	107
ENSMUSP00000083205	ENSMUSG00000061028	22
ENSMUSP00000058785	ENSMUSG00000061032	19
ENSMUSP00000110646	ENSMUSG00000061039	2
ENSMUSP00000119647	ENSMUSG00000061046	2
ENSMUSP00000079613	ENSMUSG00000061048	35
ENSMUSP00000038103	ENSMUSG00000061068	22
ENSMUSP00000081778	ENSMUSG00000061079	28
ENSMUSP00000077913	ENSMUSG00000061080	7
ENSMUSP00000074404	ENSMUSG00000061082	8
ENSMUSP00000018800	ENSMUSG00000061086	52
ENSMUSP00000074713	ENSMUSG00000061096	2
ENSMUSP00000072137	ENSMUSG00000061096	2
ENSMUSP00000075954	ENSMUSG00000061099	23
ENSMUSP00000023329	ENSMUSG00000061100	22
ENSMUSP00000120071	ENSMUSG00000061104	1
ENSMUSP00000073697	ENSMUSG00000061104	1
ENSMUSP00000094318	ENSMUSG00000061118	3
ENSMUSP00000075429	ENSMUSG00000061119	21
ENSMUSP00000079107	ENSMUSG00000061130	11
ENSMUSP00000057844	ENSMUSG00000061132	58
ENSMUSP00000075655	ENSMUSG00000061136	27
ENSMUSP00000112637	ENSMUSG00000061143	14
ENSMUSP00000080025	ENSMUSG00000061144	3
ENSMUSP00000072248	ENSMUSG00000061163	325
ENSMUSP00000072257	ENSMUSG00000061165	2
ENSMUSP00000100468	ENSMUSG00000061165	2
ENSMUSP00000115275	ENSMUSG00000061175	2
ENSMUSP00000062915	ENSMUSG00000061184	2
ENSMUSP00000040575	ENSMUSG00000061186	12
ENSMUSP00000077188	ENSMUSG00000061195	325
ENSMUSP00000076686	ENSMUSG00000061207	12
ENSMUSP00000076039	ENSMUSG00000061210	2
ENSMUSP00000025181	ENSMUSG00000061232	117
ENSMUSP00000077246	ENSMUSG00000061241	2
ENSMUSP00000074380	ENSMUSG00000061242	1
ENSMUSP00000087302	ENSMUSG00000061244	11
ENSMUSP00000031175	ENSMUSG00000061259	7
ENSMUSP00000051621	ENSMUSG00000061273	3
ENSMUSP00000073522	ENSMUSG00000061283	1
ENSMUSP00000078580	ENSMUSG00000061286	20
ENSMUSP00000107132	ENSMUSG00000061295	2
ENSMUSP00000107133	ENSMUSG00000061295	2
ENSMUSP00000073818	ENSMUSG00000061305	2
ENSMUSP00000077584	ENSMUSG00000061311	71
ENSMUSP00000089680	ENSMUSG00000061315	41
ENSMUSP00000100028	ENSMUSG00000061322	11
ENSMUSP00000072115	ENSMUSG00000061336	2
ENSMUSP00000097418	ENSMUSG00000061342	2
ENSMUSP00000072800	ENSMUSG00000061353	97
ENSMUSP00000023117	ENSMUSG00000061360	126
ENSMUSP00000074299	ENSMUSG00000061361	2
ENSMUSP00000077948	ENSMUSG00000061367	2
ENSMUSP00000076603	ENSMUSG00000061374	16
ENSMUSP00000079057	ENSMUSG00000061387	324
ENSMUSP00000072352	ENSMUSG00000061388	6
ENSMUSP00000035093	ENSMUSG00000061393	70
ENSMUSP00000045457	ENSMUSG00000061436	51
ENSMUSP00000068087	ENSMUSG00000061455	15
ENSMUSP00000091405	ENSMUSG00000061457	2
ENSMUSP00000035930	ENSMUSG00000061458	105
ENSMUSP00000020732	ENSMUSG00000061462	32
ENSMUSP00000100516	ENSMUSG00000061477	57
ENSMUSP00000100505	ENSMUSG00000061477	56
ENSMUSP00000111766	ENSMUSG00000061488	12
ENSMUSP00000071152	ENSMUSG00000061517	8
ENSMUSP00000111802	ENSMUSG00000061517	36
ENSMUSP00000038961	ENSMUSG00000061518	22
ENSMUSP00000079944	ENSMUSG00000061518	24
ENSMUSP00000075283	ENSMUSG00000061524	32
ENSMUSP00000023709	ENSMUSG00000061527	42
ENSMUSP00000113520	ENSMUSG00000061535	4
ENSMUSP00000077628	ENSMUSG00000061536	4
ENSMUSP00000074810	ENSMUSG00000061540	18
ENSMUSP00000072955	ENSMUSG00000061549	358
ENSMUSP00000056359	ENSMUSG00000061559	1
ENSMUSP00000074128	ENSMUSG00000061561	325
ENSMUSP00000113441	ENSMUSG00000061576	11
ENSMUSP00000107580	ENSMUSG00000061578	16
ENSMUSP00000100973	ENSMUSG00000061589	46
ENSMUSP00000030691	ENSMUSG00000061601	14
ENSMUSP00000106350	ENSMUSG00000061603	29
ENSMUSP00000080949	ENSMUSG00000061607	40
ENSMUSP00000014684	ENSMUSG00000061613	136
ENSMUSP00000071239	ENSMUSG00000061614	325
ENSMUSP00000077477	ENSMUSG00000061615	1
ENSMUSP00000073422	ENSMUSG00000061616	2
ENSMUSP00000102490	ENSMUSG00000061626	2
ENSMUSP00000079713	ENSMUSG00000061626	2
ENSMUSP00000074190	ENSMUSG00000061633	38
ENSMUSP00000074665	ENSMUSG00000061637	373
ENSMUSP00000080641	ENSMUSG00000061650	24
ENSMUSP00000076219	ENSMUSG00000061654	11
ENSMUSP00000024709	ENSMUSG00000061665	41
ENSMUSP00000074913	ENSMUSG00000061686	2
ENSMUSP00000105196	ENSMUSG00000061689	2
ENSMUSP00000078279	ENSMUSG00000061704	2
ENSMUSP00000077760	ENSMUSG00000061718	48
ENSMUSP00000077587	ENSMUSG00000061723	67
ENSMUSP00000076505	ENSMUSG00000061731	41
ENSMUSP00000023083	ENSMUSG00000061740	36
ENSMUSP00000071117	ENSMUSG00000061742	12
ENSMUSP00000074459	ENSMUSG00000061751	36
ENSMUSP00000039114	ENSMUSG00000061758	6
ENSMUSP00000093581	ENSMUSG00000061759	1
ENSMUSP00000088175	ENSMUSG00000061762	60
ENSMUSP00000073700	ENSMUSG00000061769	5
ENSMUSP00000075669	ENSMUSG00000061777	2
ENSMUSP00000056836	ENSMUSG00000061780	81
ENSMUSP00000075637	ENSMUSG00000061782	325
ENSMUSP00000079628	ENSMUSG00000061787	167
ENSMUSP00000078776	ENSMUSG00000061795	5
ENSMUSP00000071935	ENSMUSG00000061798	2
ENSMUSP00000080028	ENSMUSG00000061802	3
ENSMUSP00000074783	ENSMUSG00000061808	52
ENSMUSP00000079309	ENSMUSG00000061809	21
ENSMUSP00000027151	ENSMUSG00000061816	60
ENSMUSP00000058567	ENSMUSG00000061825	17
ENSMUSP00000080924	ENSMUSG00000061835	2
ENSMUSP00000073919	ENSMUSG00000061835	2
ENSMUSP00000078774	ENSMUSG00000061838	37
ENSMUSP00000113504	ENSMUSG00000061848	185
ENSMUSP00000049176	ENSMUSG00000061859	56
ENSMUSP00000120616	ENSMUSG00000061877	14
ENSMUSP00000101993	ENSMUSG00000061878	59
ENSMUSP00000091878	ENSMUSG00000061882	2
ENSMUSP00000030367	ENSMUSG00000061887	13
ENSMUSP00000059273	ENSMUSG00000061898	2
ENSMUSP00000108570	ENSMUSG00000061900	2
ENSMUSP00000075987	ENSMUSG00000061904	30
ENSMUSP00000108953	ENSMUSG00000061906	105
ENSMUSP00000021009	ENSMUSG00000061911	22
ENSMUSP00000080632	ENSMUSG00000061923	5
ENSMUSP00000076393	ENSMUSG00000061928	1
ENSMUSP00000075716	ENSMUSG00000061937	10
ENSMUSP00000048357	ENSMUSG00000061947	6
ENSMUSP00000072848	ENSMUSG00000061950	9
ENSMUSP00000074672	ENSMUSG00000061952	2
ENSMUSP00000034173	ENSMUSG00000061959	19
ENSMUSP00000080106	ENSMUSG00000061961	2
ENSMUSP00000094936	ENSMUSG00000061972	2
ENSMUSP00000072237	ENSMUSG00000061977	1
ENSMUSP00000075581	ENSMUSG00000061979	3
ENSMUSP00000098349	ENSMUSG00000061981	12
ENSMUSP00000100481	ENSMUSG00000061983	36
ENSMUSP00000073581	ENSMUSG00000061983	1
ENSMUSP00000071176	ENSMUSG00000061988	100
ENSMUSP00000081485	ENSMUSG00000062006	18
ENSMUSP00000111178	ENSMUSG00000062012	1
ENSMUSP00000078293	ENSMUSG00000062014	7
ENSMUSP00000078372	ENSMUSG00000062031	4
ENSMUSP00000072829	ENSMUSG00000062038	2
ENSMUSP00000077662	ENSMUSG00000062042	324
ENSMUSP00000076090	ENSMUSG00000062054	1
ENSMUSP00000080302	ENSMUSG00000062070	90
ENSMUSP00000076003	ENSMUSG00000062074	16
ENSMUSP00000057291	ENSMUSG00000062075	20
ENSMUSP00000013771	ENSMUSG00000062077	21
ENSMUSP00000095025	ENSMUSG00000062078	23
ENSMUSP00000112299	ENSMUSG00000062082	4
ENSMUSP00000122044	ENSMUSG00000062083	114
ENSMUSP00000077405	ENSMUSG00000062103	2
ENSMUSP00000080602	ENSMUSG00000062105	329
ENSMUSP00000070896	ENSMUSG00000062115	10
ENSMUSP00000080686	ENSMUSG00000062121	2
ENSMUSP00000105460	ENSMUSG00000062124	41
ENSMUSP00000096359	ENSMUSG00000062127	3
ENSMUSP00000077977	ENSMUSG00000062128	2
ENSMUSP00000074343	ENSMUSG00000062147	2
ENSMUSP00000074075	ENSMUSG00000062148	8
ENSMUSP00000071545	ENSMUSG00000062149	2
ENSMUSP00000074726	ENSMUSG00000062151	12
ENSMUSP00000079162	ENSMUSG00000062152	2
ENSMUSP00000074009	ENSMUSG00000062157	32
ENSMUSP00000098945	ENSMUSG00000062162	1
ENSMUSP00000071191	ENSMUSG00000062168	10
ENSMUSP00000073707	ENSMUSG00000062172	2
ENSMUSP00000096745	ENSMUSG00000062175	8
ENSMUSP00000090909	ENSMUSG00000062181	15
ENSMUSP00000085497	ENSMUSG00000062184	13
ENSMUSP00000113364	ENSMUSG00000062186	2
ENSMUSP00000114396	ENSMUSG00000062190	4
ENSMUSP00000076707	ENSMUSG00000062195	2
ENSMUSP00000079039	ENSMUSG00000062199	324
ENSMUSP00000078940	ENSMUSG00000062203	39
ENSMUSP00000112713	ENSMUSG00000062209	87
ENSMUSP00000119041	ENSMUSG00000062210	15
ENSMUSP00000075300	ENSMUSG00000062224	3
ENSMUSP00000043884	ENSMUSG00000062232	20
ENSMUSP00000036705	ENSMUSG00000062234	36
ENSMUSP00000071941	ENSMUSG00000062239	2
ENSMUSP00000075250	ENSMUSG00000062248	61
ENSMUSP00000079598	ENSMUSG00000062252	1
ENSMUSP00000073493	ENSMUSG00000062257	13
ENSMUSP00000082346	ENSMUSG00000062270	32
ENSMUSP00000078649	ENSMUSG00000062272	2
ENSMUSP00000071313	ENSMUSG00000062272	2
ENSMUSP00000087876	ENSMUSG00000062279	1
ENSMUSP00000071710	ENSMUSG00000062285	2
ENSMUSP00000077697	ENSMUSG00000062296	1
ENSMUSP00000074898	ENSMUSG00000062300	26
ENSMUSP00000079358	ENSMUSG00000062309	8
ENSMUSP00000063883	ENSMUSG00000062310	1
ENSMUSP00000053897	ENSMUSG00000062312	134
ENSMUSP00000073843	ENSMUSG00000062314	2
ENSMUSP00000074236	ENSMUSG00000062327	70
ENSMUSP00000073244	ENSMUSG00000062329	21
ENSMUSP00000084369	ENSMUSG00000062337	2
ENSMUSP00000049819	ENSMUSG00000062342	1
ENSMUSP00000009356	ENSMUSG00000062345	33
ENSMUSP00000075609	ENSMUSG00000062352	18
ENSMUSP00000120715	ENSMUSG00000062365	47
ENSMUSP00000075822	ENSMUSG00000062369	2
ENSMUSP00000073803	ENSMUSG00000062372	19
ENSMUSP00000071135	ENSMUSG00000062380	11
ENSMUSP00000077856	ENSMUSG00000062381	75
ENSMUSP00000075824	ENSMUSG00000062388	2
ENSMUSP00000079670	ENSMUSG00000062417	2
ENSMUSP00000050689	ENSMUSG00000062421	9
ENSMUSP00000079905	ENSMUSG00000062421	78
ENSMUSP00000076449	ENSMUSG00000062426	324
ENSMUSP00000073105	ENSMUSG00000062432	51
ENSMUSP00000081804	ENSMUSG00000062434	4
ENSMUSP00000074291	ENSMUSG00000062434	2
ENSMUSP00000080739	ENSMUSG00000062444	11
ENSMUSP00000081030	ENSMUSG00000062461	8
ENSMUSP00000003416	ENSMUSG00000062464	53
ENSMUSP00000039879	ENSMUSG00000062478	6
ENSMUSP00000007005	ENSMUSG00000062480	34
ENSMUSP00000077552	ENSMUSG00000062483	10
ENSMUSP00000099889	ENSMUSG00000062488	42
ENSMUSP00000080027	ENSMUSG00000062497	2
ENSMUSP00000077380	ENSMUSG00000062510	75
ENSMUSP00000029041	ENSMUSG00000062515	61
ENSMUSP00000006792	ENSMUSG00000062524	38
ENSMUSP00000072231	ENSMUSG00000062527	2
ENSMUSP00000069300	ENSMUSG00000062528	4
ENSMUSP00000073164	ENSMUSG00000062542	2
ENSMUSP00000074381	ENSMUSG00000062545	7
ENSMUSP00000105964	ENSMUSG00000062551	49
ENSMUSP00000079468	ENSMUSG00000062556	7
ENSMUSP00000073796	ENSMUSG00000062563	12
ENSMUSP00000079883	ENSMUSG00000062580	75
ENSMUSP00000074714	ENSMUSG00000062582	3
ENSMUSP00000087700	ENSMUSG00000062582	2
ENSMUSP00000100731	ENSMUSG00000062582	4
ENSMUSP00000095454	ENSMUSG00000062585	10
ENSMUSP00000108934	ENSMUSG00000062590	2
ENSMUSP00000060246	ENSMUSG00000062591	12
ENSMUSP00000042342	ENSMUSG00000062591	28
ENSMUSP00000075178	ENSMUSG00000062591	11
ENSMUSP00000071134	ENSMUSG00000062591	77
ENSMUSP00000001513	ENSMUSG00000062591	13
ENSMUSP00000077833	ENSMUSG00000062593	60
ENSMUSP00000085734	ENSMUSG00000062604	4
ENSMUSP00000073737	ENSMUSG00000062608	325
ENSMUSP00000109490	ENSMUSG00000062609	35
ENSMUSP00000096784	ENSMUSG00000062611	73
ENSMUSP00000029722	ENSMUSG00000062611	85
ENSMUSP00000071378	ENSMUSG00000062619	1
ENSMUSP00000074515	ENSMUSG00000062621	2
ENSMUSP00000097071	ENSMUSG00000062624	104
ENSMUSP00000075269	ENSMUSG00000062627	1
ENSMUSP00000076181	ENSMUSG00000062629	2
ENSMUSP00000116898	ENSMUSG00000062646	22
ENSMUSP00000099962	ENSMUSG00000062647	39
ENSMUSP00000076935	ENSMUSG00000062649	12
ENSMUSP00000000199	ENSMUSG00000062661	5
ENSMUSP00000079907	ENSMUSG00000062678	4
ENSMUSP00000037597	ENSMUSG00000062678	185
ENSMUSP00000075057	ENSMUSG00000062683	6
ENSMUSP00000029679	ENSMUSG00000062687	85
ENSMUSP00000074922	ENSMUSG00000062694	65
ENSMUSP00000079005	ENSMUSG00000062710	325
ENSMUSP00000072405	ENSMUSG00000062712	2
ENSMUSP00000072043	ENSMUSG00000062713	33
ENSMUSP00000076281	ENSMUSG00000062726	2
ENSMUSP00000072863	ENSMUSG00000062729	12
ENSMUSP00000073286	ENSMUSG00000062737	49
ENSMUSP00000080731	ENSMUSG00000062737	32
ENSMUSP00000113804	ENSMUSG00000062742	384
ENSMUSP00000052667	ENSMUSG00000062743	7
ENSMUSP00000075769	ENSMUSG00000062757	2
ENSMUSP00000110738	ENSMUSG00000062762	22
ENSMUSP00000077150	ENSMUSG00000062773	10
ENSMUSP00000078134	ENSMUSG00000062778	19
ENSMUSP00000079048	ENSMUSG00000062782	2
ENSMUSP00000103539	ENSMUSG00000062785	16
ENSMUSP00000119806	ENSMUSG00000062797	12
ENSMUSP00000100737	ENSMUSG00000062808	6
ENSMUSP00000072637	ENSMUSG00000062818	10
ENSMUSP00000052086	ENSMUSG00000062825	1
ENSMUSP00000072741	ENSMUSG00000062841	11
ENSMUSP00000076019	ENSMUSG00000062844	324
ENSMUSP00000038590	ENSMUSG00000062859	7
ENSMUSP00000079812	ENSMUSG00000062861	2
ENSMUSP00000079888	ENSMUSG00000062867	78
ENSMUSP00000077903	ENSMUSG00000062868	325
ENSMUSP00000076973	ENSMUSG00000062878	324
ENSMUSP00000080666	ENSMUSG00000062892	2
ENSMUSP00000080832	ENSMUSG00000062906	6
ENSMUSP00000072483	ENSMUSG00000062908	70
ENSMUSP00000077262	ENSMUSG00000062929	22
ENSMUSP00000075265	ENSMUSG00000062936	325
ENSMUSP00000061092	ENSMUSG00000062937	50
ENSMUSP00000027277	ENSMUSG00000062939	20
ENSMUSP00000081849	ENSMUSG00000062942	326
ENSMUSP00000099066	ENSMUSG00000062949	30
ENSMUSP00000080674	ENSMUSG00000062952	1
ENSMUSP00000075443	ENSMUSG00000062960	138
ENSMUSP00000106933	ENSMUSG00000062963	63
