Ensembl Gene ID	UCSC ID
ENSMUSG00000090386	uc007zsj.2
ENSMUSG00000024597	uc008ezm.2
ENSMUSG00000025574	
ENSMUSG00000090386	
ENSMUSG00000025574	
ENSMUSG00000097191	uc009ape.1
ENSMUSG00000102276	
ENSMUSG00000094203	
ENSMUSG00000025574	
ENSMUSG00000090386	uc007zsk.1
ENSMUSG00000025574	
ENSMUSG00000082054	
ENSMUSG00000090386	
ENSMUSG00000099532	
ENSMUSG00000090386	
ENSMUSG00000099532	
ENSMUSG00000104313	
ENSMUSG00000090386	
ENSMUSG00000094844	
ENSMUSG00000090386	
ENSMUSG00000097352	uc007epk.2
ENSMUSG00000097338	
ENSMUSG00000090386	
ENSMUSG00000097352	uc007epl.2
ENSMUSG00000100255	
ENSMUSG00000097352	
ENSMUSG00000021572	uc007req.2
ENSMUSG00000078161	
ENSMUSG00000097352	uc029qwc.1
ENSMUSG00000099655	
ENSMUSG00000095560	
ENSMUSG00000099655	
ENSMUSG00000078161	uc008rur.1
ENSMUSG00000039954	uc008eue.1
ENSMUSG00000078161	
ENSMUSG00000049235	
ENSMUSG00000090129	uc007xmc.2
ENSMUSG00000055917	uc007nlb.2
ENSMUSG00000078161	
ENSMUSG00000005054	uc007fxt.1
ENSMUSG00000097584	uc029uki.1
ENSMUSG00000055917	uc007nla.2
ENSMUSG00000024561	uc008fpj.2
ENSMUSG00000082424	
ENSMUSG00000090129	uc011zyt.1
ENSMUSG00000024664	uc008goz.1
ENSMUSG00000090129	uc011zyt.1
ENSMUSG00000068182	uc007zpa.1
ENSMUSG00000004934	uc007ggc.3
ENSMUSG00000090129	
ENSMUSG00000095383	uc012fec.1
ENSMUSG00000090129	uc011zyt.1
ENSMUSG00000004934	
ENSMUSG00000097491	uc009lol.1
ENSMUSG00000004934	uc011xjc.1
ENSMUSG00000004934	uc007ggc.3
ENSMUSG00000045776	uc007suj.2
ENSMUSG00000045954	uc007axk.1
ENSMUSG00000004934	
ENSMUSG00000097583	uc008pbs.1
ENSMUSG00000002679	uc007ocl.1
ENSMUSG00000004934	
ENSMUSG00000075553	uc007ukp.1
ENSMUSG00000002679	uc007ocl.1
