geneId	anatEntityId
ENSDARG00000001559	ZFA:0001093
ENSDARG00000001578	UBERON:0001555
ENSDARG00000001578	UBERON:0002107
ENSDARG00000001578	UBERON:0007383
ENSDARG00000001578	UBERON:2000088
ENSDARG00000001578	UBERON:2001076
ENSDARG00000001621	UBERON:0000468
ENSDARG00000001634	UBERON:0000151
ENSDARG00000001634	UBERON:0000955
ENSDARG00000001634	UBERON:0001017
ENSDARG00000001634	UBERON:0002539
ENSDARG00000001634	UBERON:0005419
ENSDARG00000001634	UBERON:2000083
ENSDARG00000001634	UBERON:2000164
ENSDARG00000001634	UBERON:2007026
ENSDARG00000001634	UBERON:2007034
ENSDARG00000001676	UBERON:0001787
ENSDARG00000001676	UBERON:0001791
ENSDARG00000001676	UBERON:0001792
ENSDARG00000001676	UBERON:0001893
ENSDARG00000001676	UBERON:0001894
ENSDARG00000001676	UBERON:0001943
ENSDARG00000001676	UBERON:0001945
ENSDARG00000001676	UBERON:0002028
ENSDARG00000001676	UBERON:0002240
ENSDARG00000001676	UBERON:0003053
ENSDARG00000001676	UBERON:0003065
ENSDARG00000001676	UBERON:2000516
ENSDARG00000001710	UBERON:0000203
ENSDARG00000001710	UBERON:0000935
ENSDARG00000001710	UBERON:0000955
ENSDARG00000001710	UBERON:0001049
ENSDARG00000001710	UBERON:0001675
ENSDARG00000001710	UBERON:0001714
ENSDARG00000001710	UBERON:0001791
ENSDARG00000001710	UBERON:0001792
ENSDARG00000001710	UBERON:0001892
ENSDARG00000001710	UBERON:0001894
ENSDARG00000001710	UBERON:0001905
ENSDARG00000001710	UBERON:0001997
ENSDARG00000001710	UBERON:0003070
ENSDARG00000001710	UBERON:0003936
ENSDARG00000001710	UBERON:2000120
ENSDARG00000001710	UBERON:2001156
ENSDARG00000001710	UBERON:2001428
ENSDARG00000001721	UBERON:0001894
ENSDARG00000001721	UBERON:0003051
ENSDARG00000001721	UBERON:0003052
ENSDARG00000001721	UBERON:0003069
ENSDARG00000001721	UBERON:0003079
ENSDARG00000001721	UBERON:0003098
ENSDARG00000001721	UBERON:0005886
ENSDARG00000001721	UBERON:2007035
ENSDARG00000001721	UBERON:2007046
ENSDARG00000001729	UBERON:0002329
ENSDARG00000001729	UBERON:0002533
ENSDARG00000001733	UBERON:0000468
ENSDARG00000001733	UBERON:0001891
ENSDARG00000001733	UBERON:0002328
ENSDARG00000001733	UBERON:0002539
ENSDARG00000001733	UBERON:0010312
ENSDARG00000001734	ZFA:0001093
ENSDARG00000001754	UBERON:0010312
ENSDARG00000001769	CL:0000353
ENSDARG00000001769	UBERON:0000019
ENSDARG00000001769	UBERON:0000033
ENSDARG00000001769	UBERON:0000151
ENSDARG00000001769	UBERON:0000468
ENSDARG00000001769	UBERON:0000955
ENSDARG00000001769	UBERON:0001891
ENSDARG00000001769	UBERON:0002028
ENSDARG00000001769	UBERON:0002539
ENSDARG00000001769	UBERON:0003052
ENSDARG00000001771	UBERON:0003051
ENSDARG00000001777	ZFA:0001093
ENSDARG00000001784	UBERON:0000151
ENSDARG00000001784	UBERON:0001049
ENSDARG00000001784	UBERON:0001892
ENSDARG00000001784	UBERON:0002240
ENSDARG00000001784	UBERON:0002539
ENSDARG00000001784	UBERON:0003059
ENSDARG00000001784	UBERON:0003075
ENSDARG00000001784	UBERON:0003117
ENSDARG00000001784	UBERON:0005068
ENSDARG00000001784	UBERON:0005419
ENSDARG00000001784	UBERON:0011087
ENSDARG00000001785	UBERON:0000151
ENSDARG00000001785	UBERON:0000468
ENSDARG00000001785	UBERON:0000955
ENSDARG00000001785	UBERON:0000966
ENSDARG00000001785	UBERON:0001675
ENSDARG00000001785	UBERON:0001714
ENSDARG00000001785	UBERON:0001792
ENSDARG00000001785	UBERON:0001891
ENSDARG00000001785	UBERON:0001892
ENSDARG00000001785	UBERON:0001894
ENSDARG00000001785	UBERON:0001943
ENSDARG00000001785	UBERON:0001945
ENSDARG00000001785	UBERON:0002028
ENSDARG00000001785	UBERON:0002037
